"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R6";"R_0402_1005Metric";1;"470R";;;
2;"U4";"QFN40P700X700X90-57N";1;"RP2040";;;
3;"J1";"USB-A";1;"USB_A";;;
4;"U3";"PSON50P300X200X60-9N";1;"W25Q128JV";;;
5;"J2";"SMD_1x04_P1.27mm";1;"SWD Prog";;;
6;"U1";"SOT-23";1;"MCP1702";;;
7;"TP2";"SMD_1x01_P1.27mm";1;"TestPoint";;;
8;"C4,C10,C6,C11,C12,C13,C15,C7,C16,C14,C2,C20,C22,C24";"C_0402_1005Metric";14;"0.1uF";;;
9;"C18,C19";"C_0402_1005Metric";2;"27pF";;;
10;"C17,C1,C5";"C_0402_1005Metric";3;"10uF";;;
11;"R3,R1,R8,R9,R10,R11,R12,R13,R14";"R_0402_1005Metric";9;"10K";;;
12;"C9,C8,C3,C21,C23,C25";"C_0402_1005Metric";6;"1uF";;;
13;"R4,R5";"R_0402_1005Metric";2;"27R";;;
14;"R7,R2";"R_0402_1005Metric";2;"1K";;;
15;"Y1";"Crystal_SMD_5032-4Pin_5.0x3.2mm";1;"H130B-12.000-20-3050-EXT-TR";;;
16;"TP1";"SMD_1x02_P1.27mm";1;"TestPoint_2Pole";;;
17;"D1";"LED_0402_1005Metric";1;"APA3010SECK";;;
18;"FID1,FID2,FID3";"Fiducial_0.5mm_Mask1mm";3;"Fiducial";;;
19;"U2,U5,U6,U7";"MIC_SPH0641LU4H-1";4;"MP23DB01HPTR";;;
