Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,A_MAX,B_MAX,B_MIN,B_NOM,D2_NOM,D_MAX,D_MIN,D_NOM,DigiKeyLink,E2_NOM,ENOM,E_MAX,E_MIN,E_NOM,LCSC,LCSCLink,L_MAX,L_MIN,L_NOM,LinkLCSC,MANUFACTURER,MAXIMUM_PACKAGE_HEIGHT,MPN,MPN_LCSC,PARTREV,PIN_COUNT_D,PIN_COUNT_E,Price,Price_LCSC,SNAPEDA_PACKAGE_ID,STANDARD,VALUE
1,1,AE1,H2U34W1H1Z0400,Device:Antenna_Chip,Capacitor_SMD:C_1206_3216Metric,https://www.unictron.com/wp-content/uploads/datasheet/H2U34W1H1Z0400.pdf,,,,,,,,,https://www.digikey.ca/en/products/detail/unictron-technologies-corporation/H2U34W1H1Z0400/9921489?s=N4IgTCBcDaIBJgKoGYAsB1AjHTAtADKvviALoC%2BQA,,,,,,,,,,,,,,2047-H2U34W1H1Z0400CT-ND,None,,,,0.9,,,,
2,1,C1,1uF,Device:C_Small,Capacitor_SMD:C_0402_1005Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRT155C80J105KE01-01.pdf,,,,,,,,,https://www.digikey.ca/en/products/detail/murata-electronics/GRT155C80J105KE01J/13904934,,,,,,,https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Samsung-Electro-Mechanics-CL05A105KP5NNNC_C14445.html,,,,,,,490-GRT155C80J105KE01JCT-ND,C14445,,,,0.0448,0.0018,,,
3,1,C2,10uF,Device:C,Capacitor_SMD:C_0402_1005Metric,https://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL05A106MP5NUNC_Spec.pdf,,,,,,,,,https://www.digikey.ca/en/products/detail/samsung-electro-mechanics/CL05A106MP5NUNC/3887108,,,,,,,https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Samsung-Electro-Mechanics-CL05A106MQ5NUNC_C15525.html,,,,,,,1276-1450-1-ND,C15525,,,,0.1092,0.0057,,,
4,8,"C3, C4, C6, C7, C17, C18, C19, C20",0.1uF,Device:C_Small,Capacitor_SMD:C_0402_1005Metric,~,,,,,,,,,,,,,,,,https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_FH-Guangdong-Fenghua-Advanced-Tech-RC-02W101JT_C258109.html,,,,https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_FH-Guangdong-Fenghua-Advanced-Tech-0402B104K160NT_C41851.html,,,,C41851,,,,,0.0008,,,
5,1,C5,0.1uF,Device:C,Capacitor_SMD:C_0402_1005Metric,https://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL05A104KA5NNNC.pdf,,,,,,,,,https://www.digikey.ca/en/products/detail/samsung-electro-mechanics/CL05A104KA5NNNC/3886701,,,,,,,,,,,https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_FH-Guangdong-Fenghua-Advanced-Tech-0402B104K160NT_C41851.html,,,1276-1043-1-ND,C41851,,,,0.006,0.0008,,,
6,1,C8,4.7uF,Device:C_Polarized_US,Capacitor_SMD:C_0402_1005Metric,~,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,C9,10nF,Device:C_Polarized_US,Capacitor_SMD:C_0402_1005Metric,~,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2,"C10, C11",NC,Device:C_Small,Capacitor_SMD:C_0402_1005Metric,~,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,C12,100nF,Device:C,Capacitor_SMD:C_0402_1005Metric,~,,,,,,,,,,,,,,,,,,,,,,,,C41851,,,,,0.0008,,,
10,1,C13,NC_0R,Device:C_Small,Capacitor_SMD:C_0402_1005Metric,~,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
